                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0728,                 2.8046,                 1.4054,                0.35821,                0.09703,                0.05966,                0.03236,                 1.6698,                 3.8886,                 2.1936,               0.067049,             0.00033284,             0.00033284
                      2,                 1.0925,                 2.3563,                 1.4186,                 0.3817,                0.22752,                 0.1663,                0.10848,                 1.2031,                 2.9015,                 1.7036,               0.034035,             0.00065286,             0.00065286
                      3,                 1.0738,                 2.2013,                 1.3965,                0.40347,                0.21076,                0.16996,                0.10967,                 1.2923,                  2.904,                 1.8064,              0.0010088,             0.00095955,             0.00095955
                      4,                 1.0579,                 2.0945,                  1.387,                0.35901,                0.33168,                0.27022,                0.19176,                 1.0838,                 2.3813,                 1.5526,             0.00094003,             0.00094003,             0.00094003
                      5,                 1.0279,                 1.9752,                 1.3626,                0.39737,                0.34818,                 0.2969,                0.20442,                 1.1136,                 2.3378,                 1.5813,             0.00094003,             0.00094003,             0.00094003
                      6,                 1.0014,                 1.8791,                  1.346,                0.44129,                0.38064,                0.35371,                0.25688,                 1.0093,                 2.1113,                  1.483,             0.00092004,             0.00092004,             0.00092004
                      7,                0.98548,                    1.8,                 1.3309,                 0.4767,                0.40365,                0.36965,                 0.2704,                0.98722,                 2.0407,                 1.4553,             0.00090005,             0.00090005,             0.00090005
                      8,                0.97461,                 1.7361,                  1.322,                0.45622,                0.40257,                0.38654,                0.28488,                0.94969,                 1.9505,                 1.4282,             0.00088006,             0.00088006,             0.00088006
                      9,                0.96233,                 1.6913,                 1.3091,                0.47334,                0.39559,                0.37975,                0.28335,                0.98456,                 2.0455,                 1.4363,             0.00086007,             0.00086007,             0.00086007
                     10,                0.94951,                 1.6416,                 1.3022,                0.49596,                0.43604,                0.43567,                0.32546,                 0.9305,                 1.7825,                 1.4062,             0.00084008,             0.00084008,             0.00084008
                     11,                0.94547,                 1.6116,                 1.2986,                0.49852,                0.48597,                0.47442,                 0.3632,                0.87653,                 1.6925,                 1.3568,             0.00082009,             0.00082009,             0.00082009
                     12,                 0.9242,                 1.5588,                 1.2865,                 0.5311,                0.48138,                0.49754,                0.38032,                0.87791,                 1.6589,                 1.3462,              0.0008001,              0.0008001,              0.0008001
